"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 18 16:37:40 GMT 2024","Tue Jun 18 16:37:51 GMT 2024","11952","","Web App login and registration tests","",".Web_App_login_and_registration_tests","","Positive registration test",""
"failed","Tue Jun 18 16:38:03 GMT 2024","Tue Jun 18 16:38:09 GMT 2024","6629","","Setting new password negative tests","",".Web_App_reset_password_tests.Setting_new_password_negative_tests","","Passwords Do Not Match",""
"failed","Tue Jun 18 16:37:24 GMT 2024","Tue Jun 18 16:37:42 GMT 2024","18778","","Items Flow tests value conditions","",".Items_Flow_tests_(value_conditions)","","before all hook for Items Flow tests value conditions",""
"failed","Tue Jun 18 16:35:57 GMT 2024","Tue Jun 18 16:36:20 GMT 2024","23686","","Activity availability depending on Event type tests","",".Activity_availability_depending_on_Event_type_tests","","before all hook for Activity availability depending on Event type tests",""
"failed","Tue Jun 18 16:36:53 GMT 2024","Tue Jun 18 16:37:12 GMT 2024","19829","","Items Flow tests chained and other conditions","",".Items_Flow_tests_(chained_and_other_conditions)","","before all hook for Items Flow tests chained and other conditions",""
"failed","Tue Jun 18 16:37:40 GMT 2024","Tue Jun 18 16:37:57 GMT 2024","17069","","Web App login and registration tests","",".Web_App_login_and_registration_tests","","Negative registration test user already exist",""
"failed","Tue Jun 18 16:38:03 GMT 2024","Tue Jun 18 16:38:09 GMT 2024","6791","","Setting new password negative tests","",".Web_App_reset_password_tests.Setting_new_password_negative_tests","","Password must be at least 6 characters",""
"passed","Tue Jun 18 16:37:40 GMT 2024","Tue Jun 18 16:37:46 GMT 2024","6261","","Web App login and registration tests","",".Web_App_login_and_registration_tests","","Logout test",""
"failed","Tue Jun 18 16:36:33 GMT 2024","Tue Jun 18 16:36:55 GMT 2024","22421","","Items settings tests","",".Items_settings_tests","","before all hook for Items settings tests",""
"passed","Tue Jun 18 16:38:33 GMT 2024","Tue Jun 18 16:38:45 GMT 2024","12009","","Negative Login tests","",".Web_App_login_and_registration_tests.Negative_Login_tests","","Incorrect email or password",""
"failed","Tue Jun 18 16:35:17 GMT 2024","Tue Jun 18 16:35:43 GMT 2024","26458","","Activity Flows availability depending on Event type tests","",".Activity_Flows_availability_depending_on_Event_type_tests","","before all hook for Activity Flows availability depending on Event type tests",""
"failed","Tue Jun 18 16:35:17 GMT 2024","Tue Jun 18 16:35:43 GMT 2024","26489","","Activity settings and actions tests","",".Activity_settings_and_actions_tests","","before all hook for Activity settings and actions tests",""
"failed","Tue Jun 18 16:37:43 GMT 2024","Tue Jun 18 16:37:51 GMT 2024","8597","","User is able to reset password and login in Web App with a new one","",".Web_App_reset_password_tests.User_is_able_to_reset_password_and_login_in_Web_App_with_a_new_one","","before each hook for User is able to reset password and login in Web App with a new one",""
"failed","Tue Jun 18 16:37:40 GMT 2024","Tue Jun 18 16:37:55 GMT 2024","15407","","Web App login and registration tests","",".Web_App_login_and_registration_tests","","Positive Login test",""
"failed","Tue Jun 18 16:35:17 GMT 2024","Tue Jun 18 16:35:43 GMT 2024","26406","","Web App Activity Flows tests","",".Web_App_Activity_Flows_tests","","before all hook for Web App Activity Flows tests",""
"failed","Tue Jun 18 16:35:58 GMT 2024","Tue Jun 18 16:36:17 GMT 2024","19113","","Web App change password tests","",".Web_App_change_password_tests","","before each hook for Web App change password tests",""
"passed","Tue Jun 18 16:37:52 GMT 2024","Tue Jun 18 16:37:53 GMT 2024","1557","","User is not able to reset non registered invalid email address","",".Web_App_reset_password_tests.User_is_not_able_to_reset_non-registered_&_invalid_email_address","","Invalid email format",""
"failed","Tue Jun 18 16:38:03 GMT 2024","Tue Jun 18 16:38:09 GMT 2024","6807","","Setting new password negative tests","",".Web_App_reset_password_tests.Setting_new_password_negative_tests","","Password should not contain spaces",""
"skipped","Tue Jun 18 16:35:58 GMT 2024","Tue Jun 18 16:35:58 GMT 2024","0","","Web App change password tests","",".Web_App_change_password_tests","","User is able to change password and login in Web App with a new one",""
"skipped","Tue Jun 18 16:37:43 GMT 2024","Tue Jun 18 16:37:43 GMT 2024","0","","User is able to reset password and login in Web App with a new one","",".Web_App_reset_password_tests.User_is_able_to_reset_password_and_login_in_Web_App_with_a_new_one","","Set typical 6 char new password",""
"failed","Tue Jun 18 16:37:07 GMT 2024","Tue Jun 18 16:37:30 GMT 2024","23262","","Items Flow tests option conditions","",".Items_Flow_tests_(option_conditions)","","before all hook for Items Flow tests option conditions",""
"failed","Tue Jun 18 16:36:33 GMT 2024","Tue Jun 18 16:36:55 GMT 2024","22408","","Web App different activity items tests","",".Web_App_different_activity_items_tests","","before all hook for Web App different activity items tests",""
"failed","Tue Jun 18 16:35:58 GMT 2024","Tue Jun 18 16:36:20 GMT 2024","22697","","Alerts tests","",".Alerts_tests","","before all hook for Alerts tests",""
"failed","Tue Jun 18 16:37:52 GMT 2024","Tue Jun 18 16:38:01 GMT 2024","9258","","User is not able to reset non registered invalid email address","",".Web_App_reset_password_tests.User_is_not_able_to_reset_non-registered_&_invalid_email_address","","Non existing user email",""
